variable,iqr_outliers_number,number_of_nonmissing,rule_used,action_performed
glucose_fasting_mg_dL,21,1195,1.5xIQR,flag_only
DHEAS (DHEA),20,1171,1.5xIQR,flag_only
rdwsd_fL,20,945,1.5xIQR,flag_only
pdw_fL,19,946,1.5xIQR,flag_only
mcv_fL,19,945,1.5xIQR,flag_only
ALAT (ALT),19,263,1.5xIQR,flag_only
lymphocytes_abs_10_3_uL,18,946,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PDW)",18,902,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (LIM#)",17,901,1.5xIQR,flag_only
mchc_g_dL,17,945,1.5xIQR,flag_only
Kortyzol po Dexamethasonie (KORD),17,229,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCV)",16,901,1.5xIQR,flag_only
insulin_60min_4pt_uU_ml,16,145,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NEUT)",15,901,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCHC)",15,901,1.5xIQR,flag_only
ASPAT (AST),15,263,1.5xIQR,flag_only
Cholesterol całkowity (TCHOL),14,1169,1.5xIQR,flag_only
mpv_fL,13,990,1.5xIQR,flag_only
FT4 (FT4),13,1167,1.5xIQR,flag_only
HDL cholesterol (HDL),13,1169,1.5xIQR,flag_only
Insulina po 75g glukozy (3pkt.) (INSUL_0),13,222,1.5xIQR,flag_only
hemoglobin_g_dL,12,945,1.5xIQR,flag_only
rbc_10_6_uL,12,945,1.5xIQR,flag_only
Androstendion (I31) (ANDRO),11,255,1.5xIQR,flag_only
Insulina po 75g glukozy (3pkt.) (INSUL_1),11,221,1.5xIQR,flag_only
Kortyzol godz. 08:00 (KOR),11,1165,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RBC)",11,901,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (LIM)",11,901,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HGB)",11,901,1.5xIQR,flag_only
insulin_60min_3pt_uU_ml,11,221,1.5xIQR,flag_only
cortisol_8am_ug_dL,11,1210,1.5xIQR,flag_only
LDL cholesterol (LDL),10,1169,1.5xIQR,flag_only
Androstendion (I31),10,189,1.5xIQR,flag_only
platelets_10_3_uL,10,990,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MON)",9,901,1.5xIQR,flag_only
Wolny testosteron (O41.W),9,189,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLT)",9,901,1.5xIQR,flag_only
hematocrit_percent,9,945,1.5xIQR,flag_only
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 60m)",9,83,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLCR)",8,901,1.5xIQR,flag_only
insulin_30min_uU_ml,8,144,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HCT)",8,901,1.5xIQR,flag_only
plcr_percent,8,945,1.5xIQR,flag_only
pct_percent,8,945,1.5xIQR,flag_only
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 30m)",7,83,1.5xIQR,flag_only
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 120m)",7,83,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PCT)",7,901,1.5xIQR,flag_only
insulin_120min_4pt_uU_ml,7,83,1.5xIQR,flag_only
AMH-anty Mullerian Hormon (AMH),6,147,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MPV)",6,901,1.5xIQR,flag_only
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_2)",5,62,1.5xIQR,flag_only
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 0m)",5,83,1.5xIQR,flag_only
Ca125 (CA125),4,41,1.5xIQR,flag_only
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_1)",4,61,1.5xIQR,flag_only
Insulina po 75g glukozy (3pkt.) (INSUL_2),4,221,1.5xIQR,flag_only
insulin_120min_3pt_uU_ml,4,221,1.5xIQR,flag_only
Gamma Glutamylotranspeptydaza (GGTP),4,77,1.5xIQR,flag_only
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_0)",4,62,1.5xIQR,flag_only
