Parameter,category,data_type,detected_unit,exclude_reason,formatting_errors,max,mean,median,merged_from,merged_into,min,n_nonnull,n_total,n_unique,no_variance,notes,only_in_group,original_name,original_unit,outliers_detected,q1,q3,recommended_action,too_few_data,unit_unknown,useful
Wypis z oddziału zlecającego,Index,datetime64[us],,[],False,,,,[],,,1286,1331,1283,False,"['Has 1286 values, but 0 in Control']",PCOS,Wypis z oddziału zlecającego,,False,,,,False,False,True
beta HCG (L_HCG),Beta_HCG,float64,,"['N=21 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=21 between 10-30)']",False,1.66,0.22190476190476188,0.2,[],,0.1,21,1331,3,False,"['Has 21 values, but 0 in Control', 'Only 21 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,beta HCG (L_HCG),,False,0.1,0.2,exclude,True,False,False
glu 0' mg/dl,Glucose_Fasting,float64,mg/dL,['merged into glucose_fasting_mg_dL'],False,106.0,88.40671111111112,88.8,[],glucose_fasting_mg_dL,78.1,45,1331,40,False,"['Has 45 values, but 0 in PCOS']",Control_no_PCOS,glu 0' mg/dl,,False,84.9,91.4,merged,False,False,False
insulina uU/ml,Insulin_Fasting,float64,μU/mL,['merged into insulin_fasting_uU_ml'],False,22.1,8.087777777777779,6.97,[],insulin_fasting_uU_ml,3.31,45,1331,43,False,"['Has 45 values, but 0 in PCOS', 'MANUAL CORRECTION: unified to μU/mL']",Control_no_PCOS,insulina uU/ml,,False,5.97,10.0,merged,False,False,False
kortyzol 8.00 ug/dl,Cortisol_8AM,float64,μg/dL,['merged into cortisol_8am_ug_dL'],False,20.3,13.915555555555557,13.8,[],cortisol_8am_ug_dL,7.61,45,1331,38,False,"['Has 45 values, but 0 in PCOS', 'MANUAL CORRECTION: ug/dL → μg/dL (micro prefix normalized)']",Control_no_PCOS,kortyzol 8.00 ug/dl,,False,11.5,16.3,merged,False,False,False
testosteron ng/ml,Testosterone_Total,float64,ng/mL,['merged into testosterone_ng_ml'],False,0.804,0.3485555555555555,0.317,[],testosterone_ng_ml,0.103,45,1331,43,False,"['Has 45 values, but 0 in PCOS']",Control_no_PCOS,testosteron ng/ml,,False,0.257,0.409,merged,False,False,False
Żelazo (FE),Iron,float64,,['N=3 < 10 - automatic exclusion'],False,119.0,87.16666666666667,86.0,[],,56.5,3,1331,3,False,"['Has 3 values, but 0 in Control', 'Only 3 non-null values']",PCOS,Żelazo (FE),,False,71.25,102.5,exclude,True,False,False
AMH_ng_ml,AMH,float64,ng/mL,[],False,,,,"['AMH (hormon anty-Mullerowski) (AMH_CP)', 'AMH-anty Mullerian Hormon (AMH)', 'AMH ng/ml']",,,1168,1331,674,False,"['Consolidated from: AMH (hormon anty-Mullerowski) (AMH_CP), AMH-anty Mullerian Hormon (AMH), AMH ng/ml']",,AMH_ng_ml,,False,,,keep,False,False,True
androstenedione_ng_ml,Androstenedione,float64,ng/mL,[],False,,,,"['Androstendion (ANDRO)', 'Androstendion (I31)', 'Androstendion (I31) (ANDRO)']",,,1126,1331,381,False,"['Consolidated from: Androstendion (ANDRO), Androstendion (I31), Androstendion (I31) (ANDRO)']",PCOS,androstenedione_ng_ml,,False,,,keep,False,False,True
anti_tg_IU_mL,Anti_TG,float64,IU/mL,[],False,,,,"['P/c antytyreoglobulinowe (anty-Tg) (ANTYTG2)', 'Anty-TG (p/c przeciw tyreoglobulinie) (ATG)']",,,936,1331,393,False,"['Consolidated from: P/c antytyreoglobulinowe (anty-Tg) (ANTYTG2), Anty-TG (p/c przeciw tyreoglobulinie) (ATG)']",PCOS,anti_tg_IU_mL,,False,,,keep,False,False,True
